Cycle,T10_R0,T10_R1,T10_R3,T25_R0,T25_R1,T25_R3,T40_R0,T40_R1,T40_R3
659,1.500008032,1.891020714,2.143879797,2.878773081,3.064396845,3.149917731,,,
660,1.48219948,1.879462295,2.143756646,2.874215328,3.065137111,3.151509717,,,
661,1.482334067,1.86982082,2.136436811,2.874843266,3.066731061,3.146979206,,,
662,1.473079087,1.862387471,2.121739039,2.872063841,3.064451812,3.141314116,,,
663,1.461675329,1.848777853,2.111273315,2.867367956,3.066059455,3.137336499,,,
664,1.44142026,1.843905463,2.101738574,2.853062094,3.059664272,3.138928485,,,
665,1.438068698,1.834309505,2.095755135,2.849552943,3.061271915,3.134251831,,,
666,1.423259037,1.817924079,2.091594034,2.844122875,3.05760415,3.131747738,,,
667,1.413999193,1.811257638,2.075428184,2.833098739,3.050119683,3.128650914,,,
668,1.393846509,1.787440166,2.074333348,2.834688064,3.051727326,3.119116877,,,
669,1.381831873,1.782679176,2.057447496,2.829265616,3.048941297,3.114446918,,,
670,1.370038231,1.780027811,2.050596946,2.828521543,3.034730179,3.116038904,,,
671,1.353771399,1.768259009,2.041252271,2.825031364,3.031808433,3.11763089,,,
672,1.334298472,1.748674606,2.032853796,2.823303549,3.026530124,3.109951974,,,
673,1.331449945,1.729077183,2.026871798,2.816345376,3.017116503,3.107085277,,,
674,1.320415886,1.722158404,2.02395637,2.812365091,3.018405838,3.108158947,,,
675,1.303764233,1.713516037,2.009622785,2.812582657,3.015995564,3.109220789,,,
676,1.291606177,1.696713096,2.006888256,2.802733671,3.017603207,3.106461423,,,
677,1.282451261,1.681904365,1.990581243,2.792480432,3.018638938,3.108053409,,,
678,1.267708397,1.666430164,1.987146706,2.791763592,3.004172406,3.102778397,,,
679,1.247335836,1.64890957,1.974660649,2.784341581,3.003888598,3.095690884,,,
680,1.236260413,1.643695726,1.970027072,2.783880244,2.998315872,3.094925692,,,
681,1.224210405,1.627983212,1.968694991,2.781783447,2.995279847,3.088330374,,,
682,1.206219106,1.616422948,1.964371539,2.76394613,2.991883488,3.085338479,,,
683,1.190210119,1.606443981,1.946897485,2.758858869,2.990765634,3.085048104,,,
684,1.172092208,1.595584602,1.937784554,2.760448194,2.979892996,3.084833145,,,
685,1.171560569,1.583834923,1.929082212,2.757698608,2.980666545,3.078864968,,,
686,1.147937163,1.567413053,1.914018544,2.749052382,2.982274188,3.07438698,,,
